word,count
interpretation,1
lack,1
results,1
controversial,1
dopamine,1
metagenomes,1
assembled,1
also,1
flemish,1
catalogue,1
to,2
production,1
neuroactive,2
has,1
confounding,1
framework,1
effects,1
metagenomics,1
using,1
correcting,1
microbiome,4
metabolite,1
identified,1
large,1
gut,3
analytical,1
mental,3
reference,1
module,1
our,1
acid,2
bacteria,1
depression,3
even,1
for,2
quality,3
research,2
consistently,1
behind,1
health,2
between,1
we,2
after,1
butyrate-producing,1
34-dihydroxyphenylacetic,1
importance,1
human,1
host,1
bidirectional,1
by,1
of,11
could,1
studied,1
facilitate,1
sequenced,1
dialister,1
features,1
large-scale,1
communication,1
one,1
lagging,1
translational,1
prokaryotes,1
tools,1
links,1
been,1
their,1
indicators,1
topics,1
synthesis,1
life,3
mostly,1
but,1
role,1
with,6
positively,1
population,1
intriguing,1
flora,1
metabolism,1
project,1
while,1
were,2
confounder,1
study,1
and,6
faecalibacterium,1
dedicated,1
associated,1
indicated,1
process,1
is,2
surveying,1
evidence,1
as,1
microbiota-gut-brain,1
depleted,1
emphasizing,1
in,5
analysis,1
n = 1054,1
antidepressants,1
cohort,1
relationship,1
provide,1
hampered,1
how,1
potential,4
ntotal = 1070,1
animal,1
correlating,1
higher,1
independent,1
γ-aminobutyric,1
models,1
module-based,1
sets,1
most,1
explored,1
data,1
a,5
faecal,1
correlate,1
studies,1
gut-brain,1
coprococcus,2
microbial,4
together,1
spp,1
databases,1
the,7
validation,1
population-scale,1
